onset	duration	trial_type	response_time
0.761	2.326	100inc_excluded	n/a
3.104	3.306	100inc_included	0.589
6.493	2.093	100inc_excluded	n/a
8.602	3.372	100inc_included	0.497
12.041	2.907	100inc_excluded	n/a
14.965	3.090	100inc_included	0.536
36.911	13.000	Fixation	n/a
31.146	2.110	66inc_excluded	n/a
33.273	2.724	66inc_excluded	n/a
36.014	2.990	66inc_included	0.612
39.071	2.608	66inc_included	0.557
41.745	2.741	66inc_excluded	n/a
44.503	2.210	66inc_excluded	n/a
46.729	2.010	66inc_excluded	n/a
67.546	13.000	Fixation	n/a
61.781	2.791	0inc_excluded	n/a
64.589	2.392	0inc_excluded	n/a
66.997	2.276	0inc_excluded	n/a
69.290	1.944	0inc_excluded	n/a
71.250	2.459	0inc_excluded	n/a
73.726	2.625	0inc_excluded	n/a
76.367	2.359	0inc_excluded	n/a
78.743	2.658	0inc_excluded	n/a
81.418	2.342	0inc_excluded	n/a
102.566	13.000	Fixation	n/a
96.801	2.309	33inc_excluded	n/a
99.127	2.243	33inc_excluded	n/a
101.387	2.160	33inc_excluded	n/a
103.563	2.841	33inc_excluded	n/a
106.420	3.455	33inc_included	0.541
109.942	2.691	33inc_excluded	n/a
112.650	2.741	33inc_excluded	n/a
115.408	2.625	33inc_excluded	n/a
136.839	13.000	Fixation	n/a
131.074	2.492	66inc_excluded	n/a
133.583	2.127	66inc_excluded	n/a
135.726	3.206	66inc_included	0.506
139.015	3.057	66inc_included	0.588
142.138	2.425	66inc_excluded	n/a
144.580	2.542	66inc_excluded	n/a
147.139	2.143	66inc_excluded	n/a
168.088	13.000	Fixation	n/a
162.323	2.691	100inc_excluded	n/a
165.031	3.373	100inc_included	0.488
168.487	2.575	100inc_excluded	n/a
171.078	2.658	100inc_included	0.497
173.819	2.226	100inc_excluded	n/a
176.062	2.608	100inc_included	0.513
197.526	13.000	Fixation	n/a
191.762	2.376	33inc_excluded	n/a
194.154	2.642	33inc_excluded	n/a
196.812	2.276	33inc_excluded	n/a
199.105	2.160	33inc_excluded	n/a
201.281	3.024	33inc_included	0.578
204.371	2.459	33inc_excluded	n/a
206.846	1.994	33inc_excluded	n/a
208.856	1.977	33inc_excluded	n/a
229.639	13.000	Fixation	n/a
223.875	2.293	0inc_excluded	n/a
226.184	2.060	0inc_excluded	n/a
228.261	2.641	0inc_excluded	n/a
230.919	2.342	0inc_excluded	n/a
233.278	2.110	0inc_excluded	n/a
235.404	2.077	0inc_excluded	n/a
237.497	2.492	0inc_excluded	n/a
240.006	2.592	0inc_excluded	n/a
242.614	2.841	0inc_excluded	n/a
264.261	13.000	Fixation	n/a
258.496	1.927	33inc_excluded	n/a
260.440	2.359	33inc_excluded	n/a
262.816	1.960	33inc_excluded	n/a
264.793	2.293	33inc_excluded	n/a
267.102	3.373	33inc_included	0.561
270.557	2.658	33inc_excluded	n/a
273.232	2.043	33inc_excluded	n/a
275.292	2.758	33inc_excluded	n/a
296.856	13.000	Fixation	n/a
291.091	2.675	100inc_excluded	n/a
293.782	2.592	100inc_included	0.528
296.457	2.841	100inc_excluded	n/a
299.315	3.406	100inc_included	0.516
302.787	2.359	100inc_excluded	n/a
305.162	3.289	100inc_included	0.498
327.307	13.000	Fixation	n/a
321.543	2.841	0inc_excluded	n/a
324.400	2.907	0inc_excluded	n/a
327.324	2.077	0inc_excluded	n/a
329.417	2.841	0inc_excluded	n/a
332.275	2.093	0inc_excluded	n/a
334.385	2.276	0inc_excluded	n/a
336.677	1.944	0inc_excluded	n/a
338.638	1.977	0inc_excluded	n/a
340.631	2.492	0inc_excluded	n/a
361.929	13.000	Fixation	n/a
356.165	2.724	66inc_excluded	n/a
358.906	2.309	66inc_excluded	n/a
361.231	2.558	66inc_included	0.510
363.873	2.542	66inc_included	0.500
366.498	2.143	66inc_excluded	n/a
368.658	2.359	66inc_excluded	n/a
371.033	2.724	66inc_excluded	n/a
392.563	13.000	Fixation	n/a
386.799	2.392	0inc_excluded	n/a
389.208	2.226	0inc_excluded	n/a
391.451	2.442	0inc_excluded	n/a
393.909	2.558	0inc_excluded	n/a
396.484	2.010	0inc_excluded	n/a
398.511	2.774	0inc_excluded	n/a
401.302	2.642	0inc_excluded	n/a
403.960	2.160	0inc_excluded	n/a
406.137	2.425	0inc_excluded	n/a
427.368	13.000	Fixation	n/a
421.603	2.509	100inc_excluded	n/a
424.129	2.990	100inc_included	0.692
427.185	2.891	100inc_excluded	n/a
430.093	3.024	100inc_included	0.538
433.183	2.359	100inc_excluded	n/a
435.558	2.509	100inc_included	0.479
456.923	13.000	Fixation	n/a
451.158	2.359	66inc_excluded	n/a
453.534	2.459	66inc_excluded	n/a
456.009	3.422	66inc_included	0.522
459.498	3.223	66inc_included	0.503
462.787	2.193	66inc_excluded	n/a
464.997	1.944	66inc_excluded	n/a
466.957	2.293	66inc_excluded	n/a
488.055	13.000	Fixation	n/a
482.291	2.127	33inc_excluded	n/a
484.434	2.027	33inc_excluded	n/a
486.477	1.944	33inc_excluded	n/a
488.438	2.808	33inc_excluded	n/a
491.262	2.974	33inc_included	0.496
494.319	2.808	33inc_excluded	n/a
497.143	2.558	33inc_excluded	n/a
499.718	2.741	33inc_excluded	n/a
